,CB2010,ZipCode,Address,BldgClass,LandUse,OwnerType,OwnerName,LotArea,BldgArea,RetailArea,GarageArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,BldgFront,BldgDepth,LotType,BsmtCode,YearAlter1,XCoord,YCoord,ZoneMap,SHAPE_Leng,SHAPE_Area,Avg. listing price,Avg. sales price,Median sales price,Price per sqft,Trulia popularity,lat,lng
0,1010.0,10001,"340 WEST 31 STREET, New York",G1,10,,"POST OFFICE GARAGE,",9875,82750,0,82750,1,8,0,1,92,89,5,2,1972,985201,212801,8d,412.685014176,10638.1560177,4995153,2253884,2562500,1727,26,40.6422894,-73.9479633
1,2000.0,10001,"407 WEST 35 STREET, New York",G6,10,,"451 9TH AVENUE,",619,0,0,0,0,0,0,0,0,0,5,5,0,985305,214101,8d,94.140083109,541.3946230509999,4995153,2253884,2562500,1727,26,40.7543132,-73.9963666
2,1001.0,10001,"431 WEST 33 STREET, New York",G6,10,X,THE PORT AUTHORITY OF,7406,0,0,0,0,0,0,0,0,0,5,5,0,984772,213808,8d,361.37492179,7961.770536,4995153,2253884,2562500,1727,26,40.753533,-73.99810099999999
3,1011.0,10001,"651 WEST 33 STREET, New York",G7,10,P,DESPATCH SHOPS INC,158000,0,0,0,0,0,0,0,0,0,3,5,0,983234,214713,8b,2005.55369511,161857.813268,4995153,2253884,2562500,1727,26,40.7557191,-74.0039122
4,1017.0,10001,"604 WEST 30 STREET, New York",G2,10,P,604 WEST 30TH STREET,2468,2468,0,2468,1,1,0,1,25,99,5,2,1988,983008,213719,8b,248.20130549900003,2514.32353672,4995153,2253884,2562500,1727,26,40.7533008,-74.0045051
5,1037.0,10001,"550 WEST 25 STREET, New York",G1,10,P,550 WEST 25TH ST. ASS,17281,34562,0,34562,1,2,0,1,175,99,5,5,1910,982735,212400,8b,547.994537983,17429.8647373,4995153,2253884,2562500,1727,26,40.7496697,-74.005476
6,1037.0,10001,"249 10 AVENUE, New York",G1,10,P,"TENTH AVE GARAGE,",4950,23990,0,23990,1,5,0,2,40,100,4,5,1946,983223,212118,8b,364.226960553,5053.21583557,4995153,2253884,2562500,1727,26,40.7489463,-74.0037517
7,1009.0,10001,"9 AVENUE, New York",G6,10,,31 NINTH AVE CORP,6025,0,0,0,0,0,0,0,0,0,5,5,0,984737,212995,8d,319.966637356,5997.76464332,4995153,2253884,2562500,1727,26,40.76921230000001,-73.9847724
8,1030.0,10001,"279 10 AVENUE, New York",G6,10,,26-10 CORP,7075,0,0,0,2,0,0,0,0,0,3,5,0,983419,212470,8b,433.36849845,8179.61558034,4995153,2253884,2562500,1727,26,40.7499028,-74.0029636
9,1030.0,10001,"511 WEST 26 STREET, New York",G6,10,P,NEW YORK CENTRAL LINE,12225,0,0,0,0,0,0,0,0,0,5,5,0,983381,212569,8b,601.55579943,12483.742421,4995153,2253884,2562500,1727,26,40.7498335,-74.0033388
